企業名,ティッカーシンボル,平均成長率,成長率20%超,最新営業利益率,営業利益率10%超,上場日,上場5年以内
極洋,1301,-0.01070546552558064,False,0.029783184588873742,False,2001-01-01,False
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,-0.5859999054209902,False,0.10440508830156844,True,2024-02-08,True
ニッスイ,1332,-0.029482421257587783,False,0.03188831798755762,False,2000-01-04,False
マルハニチロ,1333,-0.03278088380048886,False,0.028983121271274802,False,2014-04-01,False
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,-0.44206725980203987,False,0.10417770089585793,True,2024-02-22,True
雪国まいたけ,1375,0.06492718579913932,False,0.05193820490948725,False,2020-09-17,True
カネコ種苗,1376,-0.021749087433998282,False,0.02871374447429563,False,2000-01-05,False
サカタのタネ,1377,-0.0720251180704408,False,0.14130955308491774,True,2001-01-01,False
ホクト,1379,-0.0074988064613894885,False,-0.040394628665387775,False,2001-01-04,False
Ｃｏｃｏｌｉｖｅ,137A,-0.30108073186183193,False,0.17603196407178118,True,2024-02-28,True
秋川牧園,1380,-0.06405430494191344,False,0.002805898284171772,False,2000-01-04,False
アクシーズ,1381,-0.06342733551122122,False,0.07933280776731257,False,2000-12-12,False
ホーブ,1382,0.09200667249461136,False,0.054276155898579634,False,2005-08-01,False
ベルグアース,1383,-0.09562819455080929,False,0.010850050947683562,False,2011-11-29,False
ホクリヨウ,1384,-0.08689526888018377,False,0.07428603489872636,False,2015-02-20,False
光フードサービス,138A,-0.3637263893627918,False,0.11793439425466606,True,2024-02-29,True
エムビーエス,1401,-0.05578526091167668,False,0.10801657394127094,True,2015-08-13,False
ウエストホールディングス,1407,0.1530395007164281,False,0.19435679334156492,True,2004-06-24,False
ショーボンドホールディングス,1414,-0.06741502461555782,False,0.21595729469520042,True,2001-01-01,False
ミライト・ワン,1417,-0.030302875714471284,False,0.04505079681892282,False,2001-01-01,False
インターライフホールディングス,1418,0.19041853329172956,False,0.014720417726939737,False,2000-01-04,False
タマホーム,1419,-0.06488717352793076,False,0.05180325308027259,False,2013-03-27,False
トライアルホールディングス,141A,-0.41196134182053495,False,0.021380712649591495,False,2024-03-21,True
サンヨーホームズ,1420,0.11586257803462556,False,-0.0036608179640901257,False,2013-04-09,False
日本アクア,1429,-0.0826883287696395,False,0.10168631861981088,True,2013-12-13,False
ジンジブ,142A,-0.3590157712243357,False,0.048612456460113314,False,2024-03-25,True
ファーストコーポレーション,1430,-0.00195615166907522,False,0.07766164744235349,False,2015-03-24,False
Ｌｉｂ　Ｗｏｒｋ,1431,-0.23483319591147403,False,0.02109857494159614,False,2019-06-18,True
ベステラ,1433,-0.2362189937668336,False,0.026281484480767982,False,2015-09-02,False
ＪＥＳＣＯホールディングス,1434,-0.06733844133451024,False,0.03830620632567376,False,2015-09-08,False
ｒｏｂｏｔ　ｈｏｍｅ,1435,0.7734201267818314,True,0.11905418940929725,True,2015-12-03,False
フィット,1436,-0.18809722723676048,False,0.05994515233098076,False,2016-03-14,False
岐阜造園,1438,-0.08251007430081898,False,0.07798475737566814,False,2022-09-28,True
安江工務店,1439,-0.09533696400776626,False,0.0454880542791113,False,2017-02-13,False
